date,expiry,strike,option_type,open,high,low,close,volume
2024-01-01,2024-01-04,21600,CE,104.88,115.58,96.32,107.02,100000
2024-01-01,2024-01-04,21600,PE,25.5,28.1,23.42,26.02,100000
2024-01-01,2024-01-04,21650,CE,55.88,61.58,51.32,57.02,100000
2024-01-01,2024-01-04,21650,PE,25.5,28.1,23.42,26.02,100000
2024-01-01,2024-01-04,21700,CE,25.5,28.1,23.42,26.02,100000
2024-01-01,2024-01-04,21700,PE,44.12,48.62,40.52,45.02,100000
2024-01-01,2024-01-04,21750,CE,25.5,28.1,23.42,26.02,100000
2024-01-01,2024-01-04,21750,PE,93.12,102.62,85.52,95.02,100000
2024-01-01,2024-01-04,21800,CE,25.5,28.1,23.42,26.02,100000
2024-01-01,2024-01-04,21800,PE,142.12,156.62,130.52,145.02,100000
2024-01-01,2024-01-11,21600,CE,114.79,126.51,105.42,117.13,100000
2024-01-01,2024-01-11,21600,PE,35.41,39.03,32.52,36.13,100000
2024-01-01,2024-01-11,21650,CE,65.79,72.51,60.42,67.13,100000
2024-01-01,2024-01-11,21650,PE,35.41,39.03,32.52,36.13,100000
2024-01-01,2024-01-11,21700,CE,35.41,39.03,32.52,36.13,100000
2024-01-01,2024-01-11,21700,PE,54.03,59.55,49.62,55.13,100000
2024-01-01,2024-01-11,21750,CE,35.41,39.03,32.52,36.13,100000
2024-01-01,2024-01-11,21750,PE,103.03,113.55,94.62,105.13,100000
2024-01-01,2024-01-11,21800,CE,35.41,39.03,32.52,36.13,100000
2024-01-01,2024-01-11,21800,PE,152.03,167.55,139.62,155.13,100000
2024-01-01,2024-01-18,21600,CE,124.71,137.43,114.53,127.25,100000
2024-01-01,2024-01-18,21600,PE,45.33,49.95,41.63,46.25,100000
2024-01-01,2024-01-18,21650,CE,75.71,83.43,69.53,77.25,100000
2024-01-01,2024-01-18,21650,PE,45.33,49.95,41.63,46.25,100000
2024-01-01,2024-01-18,21700,CE,45.33,49.95,41.63,46.25,100000
2024-01-01,2024-01-18,21700,PE,63.95,70.47,58.73,65.25,100000
2024-01-01,2024-01-18,21750,CE,45.33,49.95,41.63,46.25,100000
2024-01-01,2024-01-18,21750,PE,112.95,124.47,103.73,115.25,100000
2024-01-01,2024-01-18,21800,CE,45.33,49.95,41.63,46.25,100000
2024-01-01,2024-01-18,21800,PE,161.95,178.47,148.73,165.25,100000
2024-01-01,2024-01-25,21600,CE,134.62,148.36,123.63,137.37,100000
2024-01-01,2024-01-25,21600,PE,55.24,60.88,50.73,56.37,100000
2024-01-01,2024-01-25,21650,CE,85.62,94.36,78.63,87.37,100000
2024-01-01,2024-01-25,21650,PE,55.24,60.88,50.73,56.37,100000
2024-01-01,2024-01-25,21700,CE,55.24,60.88,50.73,56.37,100000
2024-01-01,2024-01-25,21700,PE,73.86,81.4,67.83,75.37,100000
2024-01-01,2024-01-25,21750,CE,55.24,60.88,50.73,56.37,100000
